"Group","Image","ReactionTime"
1,"Disapp1RT",2.953
1,"Disapp1RT",21.044
2,"Disapp1RT",31.147
1,"Disapp1RT",12.588
3,"Disapp1RT",31.215
3,"Disapp1RT",26.327
2,"Disapp1RT",22.494
2,"Disapp1RT",60.007
3,"Disapp1RT",25.949
3,"Disapp1RT",19.327
1,"Disapp1RT",12.497
1,"Disapp1RT",3.307
2,"Disapp1RT",13.119
1,"Disapp1RT",3.761
2,"Disapp1RT",6.876
2,"Disapp1RT",11.537
1,"Disapp1RT",10.323
3,"Disapp1RT",34.283
3,"Disapp1RT",5.586
3,"Disapp1RT",60.004
2,"Disapp1RT",17.834
3,"Disapp1RT",44.899
1,"Disapp1RT",8.327
2,"Disapp1RT",25.557
1,"Disapp1RT",5.802
1,"Disapp1RT",8.494
2,"Disapp1RT",5.766
2,"Disapp1RT",30.31
3,"Disapp1RT",39.264
3,"Disapp1RT",7.887
2,"Disapp1RT",32.276
3,"Disapp1RT",46.399
2,"Disapp1RT",7.05
2,"Disapp1RT",11.938
2,"Disapp1RT",17.607
1,"Disapp1RT",7.191
3,"Disapp1RT",4.364
1,"Disapp1RT",4.115
1,"Disapp1RT",6.791
2,"Disapp1RT",12.149
3,"Disapp1RT",7.443
1,"Disapp1RT",15.913
3,"Disapp1RT",34.103
2,"Disapp1RT",29.654
3,"Disapp1RT",16.849
1,"Disapp1RT",4.587
2,"Disapp1RT",14.926
2,"Disapp1RT",23.052
2,"Disapp1RT",24.665
1,"Disapp1RT",11.884
1,"Disapp1RT",4.681
3,"Disapp1RT",7.425
1,"Disapp1RT",7.357
2,"Disapp1RT",8.213
2,"Disapp1RT",4.929
1,"Disapp1RT",8.813
3,"Disapp1RT",28.13
1,"Disapp1RT",12.622
3,"Disapp1RT",10.464
3,"Disapp1RT",39.068
2,"Disapp1RT",7.18
1,"Disapp1RT",54.691
1,"Disapp1RT",8.127
2,"Disapp1RT",9.281
2,"Disapp1RT",8.119
1,"Disapp1RT",12.036
2,"Disapp1RT",6.647
3,"Disapp1RT",49.844
1,"Disapp1RT",9.677
1,"Disapp1RT",24.377
2,"Disapp1RT",25.961
2,"Disapp1RT",10.123
1,"Disapp1RT",4.167
2,"Disapp1RT",20.397
1,"Disapp1RT",4.38
3,"Disapp1RT",28.65
3,"Disapp1RT",23.785
1,"Disapp1RT",3.657
2,"Disapp1RT",7.885
1,"Disapp1RT",4.694
1,"Disapp1RT",7.479
3,"Disapp1RT",16.835
2,"Disapp1RT",5.983
3,"Disapp1RT",3.49
2,"Disapp1RT",26.268
1,"Disapp1RT",8.823
3,"Disapp1RT",8.87
1,"Disapp1RT",5.931
1,"Disapp1RT",11.405
2,"Disapp1RT",17.585
2,"Disapp1RT",9.106
3,"Disapp1RT",7.93
1,"Disapp1RT",11.23
3,"Disapp1RT",19.285
2,"Disapp1RT",8.657
2,"Disapp1RT",26.127
3,"Disapp1RT",1.399
1,"Disapp1RT",11.387
2,"Disapp1RT",8.399
3,"Disapp1RT",5.024
1,"Disapp1RT",9.084
2,"Disapp1RT",2.699
1,"Disapp1RT",6.658
1,"Disapp1RT",7.809
3,"Disapp1RT",13.244
2,"Disapp1RT",6.419
3,"Disapp1RT",28.63
1,"Disapp1RT",1.91
2,"Disapp1RT",6.546
1,"Disapp1RT",6.96
1,"Disapp1RT",8.585
3,"Disapp1RT",27.506
3,"Disapp1RT",51.634
2,"Disapp1RT",6.743
2,"Disapp1RT",22.745
3,"Disapp1RT",8.114
3,"Disapp1RT",49.506
2,"Disapp1RT",44.028
2,"Disapp1RT",53.905
1,"Disapp1RT",3.652
2,"Disapp1RT",10.837
1,"Disapp1RT",32.661
3,"Disapp1RT",37.028
1,"Disapp1RT",8.928
2,"Disapp1RT",19.841
3,"Disapp1RT",7.4
1,"Disapp1RT",8.599
3,"Disapp1RT",22.563
2,"Disapp1RT",24.432
3,"Disapp1RT",21.055
2,"Disapp1RT",5.21
1,"Disapp1RT",7.922
1,"Disapp1RT",18.15
3,"Disapp1RT",11.14
2,"Disapp1RT",26.008
3,"Disapp1RT",8.537
1,"Disapp1RT",23.173
2,"Disapp1RT",16.656
1,"Disapp1RT",3.656
1,"Disapp1RT",7.804
1,"Disapp1RT",6.631
3,"Disapp1RT",7.563
1,"Disapp1RT",7.498
2,"Disapp1RT",6.86
3,"Disapp1RT",7.823
2,"Disapp1RT",7.849
3,"Disapp1RT",8.179
2,"Disapp1RT",18.449
1,"Disapp1RT",8.311
1,"Disapp1RT",10.108
2,"Disapp1RT",4.179
2,"Disapp1RT",22.325
1,"Disapp1RT",18.619
3,"Disapp1RT",30.071
3,"Disapp1RT",6.335
2,"Disapp1RT",11.898
1,"Disapp1RT",33.452
3,"Disapp1RT",34.272
3,"Disapp1RT",20.568
1,"Disapp1RT",7.019
2,"Disapp1RT",4.877
3,"Disapp1RT",8.569
1,"Disapp1RT",6.411
2,"Disapp1RT",6.89
1,"Disapp1RT",8.142
1,"Disapp1RT",9.049
2,"Disapp1RT",10.682
2,"Disapp1RT",14.133
3,"Disapp1RT",18.932
3,"Disapp1RT",22.559
2,"Disapp1RT",16.248
1,"Disapp1RT",3.858
1,"Disapp1RT",3.563
2,"Disapp1RT",8.959
3,"Disapp1RT",5.918
3,"Disapp1RT",30.12
2,"Disapp1RT",10.437
3,"Disapp1RT",13.848
3,"Disapp1RT",16.58
1,"Disapp1RT",3.787
2,"Disapp1RT",60.004
2,"Disapp1RT",15.564
1,"Disapp1RT",8.775
3,"Disapp1RT",4.722
2,"Disapp1RT",35.26
1,"Disapp1RT",23.406
3,"Disapp1RT",23.26
1,"Disapp1RT",3.426
1,"Disapp1RT",9.854
3,"Disapp1RT",7.533
2,"Disapp1RT",18.481
2,"Disapp1RT",13.468
1,"Disapp1RT",9.747
3,"Disapp1RT",13.526
2,"Disapp1RT",60.003
1,"Disapp1RT",14.556
2,"Disapp1RT",27.715
2,"Disapp1RT",7.409
1,"Disapp2RT",32.747
1,"Disapp2RT",15.513
2,"Disapp2RT",4.021
1,"Disapp2RT",6.999
3,"Disapp2RT",10.31
3,"Disapp2RT",60.01
2,"Disapp2RT",60.008
2,"Disapp2RT",60.006
3,"Disapp2RT",20.549
3,"Disapp2RT",23.841
1,"Disapp2RT",26.741
1,"Disapp2RT",9.905
2,"Disapp2RT",13.371
1,"Disapp2RT",16.753
2,"Disapp2RT",10.433
2,"Disapp2RT",5.433
1,"Disapp2RT",5.438
3,"Disapp2RT",14.978
3,"Disapp2RT",2.641
3,"Disapp2RT",10.72
2,"Disapp2RT",60.005
3,"Disapp2RT",10.237
1,"Disapp2RT",23.419
2,"Disapp2RT",3.36
1,"Disapp2RT",4.618
1,"Disapp2RT",5.261
2,"Disapp2RT",9.675
2,"Disapp2RT",9.229
3,"Disapp2RT",3.352
3,"Disapp2RT",28.063
2,"Disapp2RT",43.961
3,"Disapp2RT",59.998
2,"Disapp2RT",3.312
2,"Disapp2RT",30.721
2,"Disapp2RT",7.633
1,"Disapp2RT",60.001
3,"Disapp2RT",7.498
1,"Disapp2RT",6.708
1,"Disapp2RT",8.379
2,"Disapp2RT",4.116
3,"Disapp2RT",4.297
1,"Disapp2RT",3.195
3,"Disapp2RT",18.499
2,"Disapp2RT",4.583
3,"Disapp2RT",59.997
1,"Disapp2RT",20.597
2,"Disapp2RT",4.277
2,"Disapp2RT",6.368
2,"Disapp2RT",32.788
1,"Disapp2RT",17.019
1,"Disapp2RT",6.009
3,"Disapp2RT",16.59
1,"Disapp2RT",3.688
2,"Disapp2RT",8.089
2,"Disapp2RT",13.456
1,"Disapp2RT",12.114
3,"Disapp2RT",3.376
1,"Disapp2RT",3.355
3,"Disapp2RT",3.263
3,"Disapp2RT",60.001
2,"Disapp2RT",8.992
1,"Disapp2RT",5.159
1,"Disapp2RT",2.614
2,"Disapp2RT",4.587
2,"Disapp2RT",11.387
1,"Disapp2RT",4.508
2,"Disapp2RT",3.628
3,"Disapp2RT",60.005
1,"Disapp2RT",12.103
1,"Disapp2RT",10.584
2,"Disapp2RT",53.322
2,"Disapp2RT",22.136
1,"Disapp2RT",2.895
2,"Disapp2RT",48.658
1,"Disapp2RT",2.564
3,"Disapp2RT",15.538
3,"Disapp2RT",6.577
1,"Disapp2RT",9.042
2,"Disapp2RT",3.198
1,"Disapp2RT",4.432
1,"Disapp2RT",6.275
3,"Disapp2RT",3.204
2,"Disapp2RT",6.366
3,"Disapp2RT",11.114
2,"Disapp2RT",41.111
1,"Disapp2RT",2.25
3,"Disapp2RT",21.531
1,"Disapp2RT",2.654
1,"Disapp2RT",4.205
2,"Disapp2RT",2.594
2,"Disapp2RT",2.3
3,"Disapp2RT",3.428
1,"Disapp2RT",9.998
3,"Disapp2RT",4.297
2,"Disapp2RT",8.535
2,"Disapp2RT",20.76
3,"Disapp2RT",13.508
1,"Disapp2RT",8.96
2,"Disapp2RT",3.942
3,"Disapp2RT",3.882
1,"Disapp2RT",8.244
2,"Disapp2RT",11.012
1,"Disapp2RT",5.553
1,"Disapp2RT",34.01
3,"Disapp2RT",21.272
2,"Disapp2RT",23.978
3,"Disapp2RT",59.996
1,"Disapp2RT",23.198
2,"Disapp2RT",19.427
1,"Disapp2RT",4.142
1,"Disapp2RT",3.014
3,"Disapp2RT",41.91
3,"Disapp2RT",4.132
2,"Disapp2RT",4.475
2,"Disapp2RT",2.615
3,"Disapp2RT",4.956
3,"Disapp2RT",5.085
2,"Disapp2RT",5.294
2,"Disapp2RT",4.047
1,"Disapp2RT",3.435
2,"Disapp2RT",3.007
1,"Disapp2RT",5.568
3,"Disapp2RT",14.115
1,"Disapp2RT",3.729
2,"Disapp2RT",25.194
3,"Disapp2RT",16.498
1,"Disapp2RT",11.351
3,"Disapp2RT",2.941
2,"Disapp2RT",2.941
3,"Disapp2RT",4.504
2,"Disapp2RT",60.004
1,"Disapp2RT",4.127
1,"Disapp2RT",24.085
3,"Disapp2RT",7.634
2,"Disapp2RT",14.456
3,"Disapp2RT",16.717
1,"Disapp2RT",4.803
2,"Disapp2RT",12.108
1,"Disapp2RT",4.894
1,"Disapp2RT",11.026
1,"Disapp2RT",4.251
3,"Disapp2RT",3.967
1,"Disapp2RT",2.377
2,"Disapp2RT",3.618
3,"Disapp2RT",9.285
3,"Disapp2RT",60.015
2,"Disapp2RT",52.657
1,"Disapp2RT",13.419
2,"Disapp2RT",5.465
2,"Disapp2RT",24.081
1,"Disapp2RT",2.364
3,"Disapp2RT",9.412
3,"Disapp2RT",4.221
2,"Disapp2RT",5.505
1,"Disapp2RT",5.803
3,"Disapp2RT",3.349
3,"Disapp2RT",60.004
1,"Disapp2RT",6.068
2,"Disapp2RT",3.323
3,"Disapp2RT",8.417
1,"Disapp2RT",14.419
2,"Disapp2RT",7.865
1,"Disapp2RT",30.863
1,"Disapp2RT",9.152
2,"Disapp2RT",4.079
2,"Disapp2RT",18.62
3,"Disapp2RT",28.101
3,"Disapp2RT",52.226
2,"Disapp2RT",8.712
1,"Disapp2RT",7.383
1,"Disapp2RT",4.311
2,"Disapp2RT",3.744
3,"Disapp2RT",48.474
3,"Disapp2RT",6.77
2,"Disapp2RT",3.142
3,"Disapp2RT",18.513
3,"Disapp2RT",13.698
1,"Disapp2RT",3.253
2,"Disapp2RT",14.567
2,"Disapp2RT",5.29
1,"Disapp2RT",5.836
3,"Disapp2RT",18.5
2,"Disapp2RT",60.004
1,"Disapp2RT",45.987
3,"Disapp2RT",6.528
1,"Disapp2RT",4.58
1,"Disapp2RT",4.974
3,"Disapp2RT",12.873
2,"Disapp2RT",3.061
2,"Disapp2RT",15.57
1,"Disapp2RT",5.531
3,"Disapp2RT",8.143
2,"Disapp2RT",34.686
1,"Disapp2RT",3.485
2,"Disapp2RT",7.337
2,"Disapp2RT",16.766
1,"Disapp3RT",2.613
1,"Disapp3RT",3.91
2,"Disapp3RT",12.464
1,"Disapp3RT",20.213
3,"Disapp3RT",18.781
3,"Disapp3RT",17.474
2,"Disapp3RT",54.663
2,"Disapp3RT",10.384
3,"Disapp3RT",34.391
3,"Disapp3RT",60.032
1,"Disapp3RT",5.656
1,"Disapp3RT",13.773
2,"Disapp3RT",2.997
1,"Disapp3RT",8.737
2,"Disapp3RT",4.358
2,"Disapp3RT",15.707
1,"Disapp3RT",29.042
3,"Disapp3RT",24.884
3,"Disapp3RT",4.547
3,"Disapp3RT",11.928
2,"Disapp3RT",10.714
3,"Disapp3RT",15.911
1,"Disapp3RT",48.953
2,"Disapp3RT",5.201
1,"Disapp3RT",2.31
1,"Disapp3RT",4.601
2,"Disapp3RT",3.5
2,"Disapp3RT",5.578
3,"Disapp3RT",33.26
3,"Disapp3RT",7.347
2,"Disapp3RT",34.448
3,"Disapp3RT",13.898
2,"Disapp3RT",47.578
2,"Disapp3RT",5.535
2,"Disapp3RT",19.035
1,"Disapp3RT",7.489
3,"Disapp3RT",7.379
1,"Disapp3RT",18.468
1,"Disapp3RT",4.595
2,"Disapp3RT",4.507
3,"Disapp3RT",12.062
1,"Disapp3RT",19.676
3,"Disapp3RT",6.194
2,"Disapp3RT",5.994
3,"Disapp3RT",6.781
1,"Disapp3RT",5.091
2,"Disapp3RT",21.522
2,"Disapp3RT",10.44
2,"Disapp3RT",4.481
1,"Disapp3RT",4.664
1,"Disapp3RT",9.288
3,"Disapp3RT",29.087
1,"Disapp3RT",8.176
2,"Disapp3RT",35.747
2,"Disapp3RT",3.924
1,"Disapp3RT",9.923
3,"Disapp3RT",8.859
1,"Disapp3RT",11.627
3,"Disapp3RT",20.728
3,"Disapp3RT",20.085
2,"Disapp3RT",60
1,"Disapp3RT",16.533
1,"Disapp3RT",3.897
2,"Disapp3RT",10.687
2,"Disapp3RT",5.177
1,"Disapp3RT",4.877
2,"Disapp3RT",13.326
3,"Disapp3RT",3.464
1,"Disapp3RT",5.858
1,"Disapp3RT",4.328
2,"Disapp3RT",27.449
2,"Disapp3RT",6.254
1,"Disapp3RT",54.335
2,"Disapp3RT",11.693
1,"Disapp3RT",15.148
3,"Disapp3RT",21.223
3,"Disapp3RT",3.464
1,"Disapp3RT",2.591
2,"Disapp3RT",60.004
1,"Disapp3RT",7.721
1,"Disapp3RT",3.674
3,"Disapp3RT",11.095
2,"Disapp3RT",21.476
3,"Disapp3RT",50.333
2,"Disapp3RT",24.534
1,"Disapp3RT",3.429
3,"Disapp3RT",4.531
1,"Disapp3RT",2.985
1,"Disapp3RT",7.385
2,"Disapp3RT",6.657
2,"Disapp3RT",17.489
3,"Disapp3RT",8.783
1,"Disapp3RT",10.743
3,"Disapp3RT",41.663
